36;"{""VIP Customer"":""Problem detected""}";"{""Key Account Manager"":""Receive issue""}";"{""Key Account Manager"":""Receive issue""}";"{""Key Account Manager"":""Issue processed""}";"{""Key Account Manager"":""Issue processed""}";"{""Key Account Manager"":""Issue processed""}";"{""Key Account Manager"":""Issue processed""}";"{""Key Account Manager"":""Issue processed""}";"{""1st Level Support Agent"":""Receive issue""}";COMPLETE
37;"{""VIP Customer"":""Problem detected""}";"{""VIP Customer"":""Problem detected""}";"{""VIP Customer"":""Problem detected""}";"{""VIP Customer"":""Problem detected""}";"{""VIP Customer"":""Problem detected""}";"{""VIP Customer"":""Problem detected""}";"{""VIP Customer"":""Problem detected""}";"{""VIP Customer"":""Problem detected""}";"{""Key Account Manager"":""Receive issue""}";COMPLETE
38;"{""VIP Customer"":""Problem detected""}";"{""Key Account Manager"":""Receive issue""}";"{""Key Account Manager"":""Receive issue""}";"{""Key Account Manager"":""Receive issue""}";"{""Key Account Manager"":""Receive issue""}";"{""Key Account Manager"":""Receive issue""}";"{""Key Account Manager"":""Receive issue""}";"{""Key Account Manager"":""Receive issue""}";"{""Key Account Manager"":""Receive issue""}";
39;"{""VIP Customer"":""Problem detected""}";"{""VIP Customer"":""Problem detected""}";"{""VIP Customer"":""Problem detected""}";"{""VIP Customer"":""Problem detected""}";"{""Key Account Manager"":""Receive issue""}";"{""Key Account Manager"":""Receive issue""}";"{""Key Account Manager"":""Receive issue""}";"{""Key Account Manager"":""Receive issue""}";"{""Key Account Manager"":""Receive issue""}";
40;"{""VIP Customer"":""Problem detected""}";"{""VIP Customer"":""Problem detected""}";"{""VIP Customer"":""Problem detected""}";"{""VIP Customer"":""Problem detected""}";"{""Key Account Manager"":""Receive issue""}";"{""Key Account Manager"":""Receive issue""}";"{""Key Account Manager"":""Receive issue""}";"{""Key Account Manager"":""Receive issue""}";"{""Key Account Manager"":""Issue processed""}";COMPLETE
41;"{""VIP Customer"":""Problem detected""}";"{""VIP Customer"":""Problem detected""}";"{""VIP Customer"":""Problem detected""}";"{""VIP Customer"":""Problem detected""}";"{""VIP Customer"":""Problem detected""}";"{""VIP Customer"":""Problem detected""}";"{""VIP Customer"":""Problem detected""}";"{""VIP Customer"":""Problem detected""}";"{""Key Account Manager"":""Receive issue""}";COMPLETE
42;"{""VIP Customer"":""Problem detected""}";"{""VIP Customer"":""Problem detected""}";"{""VIP Customer"":""Problem detected""}";"{""VIP Customer"":""Problem detected""}";"{""VIP Customer"":""Problem detected""}";"{""VIP Customer"":""Problem detected""}";"{""Key Account Manager"":""Receive issue""}";"{""Key Account Manager"":""Receive issue""}";"{""Key Account Manager"":""Receive issue""}";
43;"{""VIP Customer"":""Problem detected""}";"{""Key Account Manager"":""Receive issue""}";"{""Key Account Manager"":""Receive issue""}";"{""Key Account Manager"":""Receive issue""}";"{""Key Account Manager"":""Receive issue""}";"{""Key Account Manager"":""Receive issue""}";"{""Key Account Manager"":""Issue processed""}";"{""Key Account Manager"":""Issue processed""}";"{""Key Account Manager"":""Issue processed""}";
44;"{""VIP Customer"":""Problem detected""}";"{""VIP Customer"":""Problem detected""}";"{""VIP Customer"":""Problem detected""}";"{""VIP Customer"":""Problem detected""}";"{""Key Account Manager"":""Receive issue""}";"{""Key Account Manager"":""Receive issue""}";"{""Key Account Manager"":""Receive issue""}";"{""Key Account Manager"":""Receive issue""}";"{""Key Account Manager"":""Issue processed""}";COMPLETE
45;"{""VIP Customer"":""Problem detected""}";"{""VIP Customer"":""Problem detected""}";"{""VIP Customer"":""Problem detected""}";"{""VIP Customer"":""Problem detected""}";"{""VIP Customer"":""Problem detected""}";"{""VIP Customer"":""Problem detected""}";"{""VIP Customer"":""Problem detected""}";"{""Key Account Manager"":""Receive issue""}";"{""Key Account Manager"":""Receive issue""}";
